Name,Calories,Protein,Carbs,Fat
"Cereals, CREAM OF WHEAT, instant, prepared with water, without salt",62.0,1.84,13.08,0.24
"Game meat, elk, tenderloin, separable lean only, cooked, broiled",162.0,30.76,0.0,3.41
"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",177.0,26.22,0.0,7.2
"Beef broth and tomato juice, canned",37.0,0.6,8.5,0.1
"Beef, grass-fed, ground, raw",192.0,19.42,0.0,12.73
"Chicken, liver, all classes, cooked, simmered",167.0,24.46,0.87,6.51
"Beans, kidney, royal red, mature seeds, cooked, boiled with salt",123.0,9.49,21.85,0.17
"MURRAY, SUGAR FREE, Chocolate Chip Cookies",469.0,5.6,63.6,27.0
"Passion-fruit juice, yellow, raw",60.0,0.67,14.45,0.18
"Sugar, turbinado",399.0,0.0,99.8,0.0
"MORNINGSTAR FARMS Chik Patties Original, frozen, unprepared",202.0,11.8,22.9,7.0
"Lamb, New Zealand, imported, fore-shank, separable lean only, cooked, braised",209.0,33.31,0.0,8.4
"POPEYES, Fried Chicken, Mild, Drumstick, meat and skin with breading",293.0,20.44,9.84,19.14
"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, pan-fried",211.0,28.84,0.0,9.73
"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",221.0,27.4,0.0,12.43
"Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties)",126.0,5.65,22.46,1.56
"Emu, ground, raw",134.0,22.77,0.0,4.03
"Sweet potato, cooked, boiled, without skin",76.0,1.37,17.72,0.14
"Chicken, meatless, breaded, fried",234.0,21.28,8.51,12.77
"Infant formula, MEAD JOHNSON, NEXT STEP PROSOBEE, powder, not reconstituted",480.0,15.6,57.1,21.0
"WENDY'S, DAVE'S Hot 'N Juicy 1/4 LB, single",268.0,13.69,17.73,15.8
"Macaroni and cheese loaf, chicken, pork and beef",228.0,11.76,11.63,14.96
"Pickles, cucumber, sour, low sodium",11.0,0.33,2.26,0.2
"Goose, domesticated, meat only, raw",161.0,22.75,0.0,7.13
"Infant formula, ABBOTT NUTRITION, SIMILAC, low iron, ready-to-feed (formerly ROSS)",65.0,1.36,6.93,3.55
"Corn, sweet, white, cooked, boiled, drained, without salt",97.0,3.34,21.71,1.41
"Beef, New Zealand, imported, eye round, separable lean and fat, raw",129.0,19.88,1.32,4.92
"KEEBLER, Toast & Peanut Butter Sandwich Crackers",489.0,10.6,60.2,23.8
"Infant formula, MEAD JOHNSON, ENFAMIL LIPIL, with iron, ready-to-feed, with ARA and DHA",64.0,1.38,7.1,3.5
"Turkey, dark meat from whole, meat and skin, cooked, roasted",206.0,27.27,0.07,9.95
"Chicken, roasting, meat only, cooked, roasted",167.0,25.01,0.0,6.63
"Tofu, salted and fermented (fuyu)",116.0,8.15,5.15,8.0
"Bread, egg",287.0,9.5,47.8,6.0
"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",212.0,28.48,0.0,10.05
"Soup, cream of chicken, canned, prepared with equal volume water",48.0,1.41,3.8,3.02
"Chicken, broilers or fryers, breast, meat and skin, cooked, fried, batter",260.0,24.84,8.99,13.2
"KELLOGG'S, POP-TARTS MINI CRISPS, Cinnamon Brown Sugar Baked Bites",433.0,4.8,79.0,11.0
"Salad dressing, french dressing, reduced fat",222.0,0.58,31.22,11.52
"Potatoes, french fried, cross cut, frozen, unprepared",193.0,2.7,22.95,10.0
"KEEBLER, FUDGE SHOPPE, Caramel Filled Cookies",506.0,2.9,66.7,25.4
"KELLOGG'S, EGGO, Waffles, Homestyle, Low Fat",229.0,6.3,44.9,3.5
"McDONALD'S, Hotcakes (plain)",228.0,6.0,38.27,5.84
"Beef, chuck eye steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",153.0,21.29,0.0,7.56
"Corn, sweet, yellow, raw",86.0,3.27,18.7,1.35
"SUPPER BAKES MEAL KITS, Garlic Chicken with pasta (chicken not included)",220.0,9.76,42.93,0.98
"Oil, PAM cooking spray, original",792.0,0.26,20.69,78.69
"Fast foods, hamburger, large, single patty, with condiments",256.0,15.68,22.14,11.6
"KELLOGG'S, EGGO, FIBERPLUS Waffles, Chocolate Chip",259.0,4.3,44.4,10.5
"Beef, round, bottom round, steak, separable lean only, trimmed to 1/8"" fat, select, cooked, braised",205.0,34.46,0.0,6.43
"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",219.0,12.56,17.92,10.81
"Chicken, broilers or fryers, back, meat and skin, cooked, roasted",300.0,25.95,0.0,20.97
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",231.0,23.72,0.0,14.35
"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",174.0,30.45,0.0,5.83
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thick crust",287.0,11.49,31.84,12.58
"Mixed vegetable and fruit juice drink, with added nutrients",29.0,0.04,7.47,0.01
"Cowpeas, young pods with seeds, cooked, boiled, drained, with salt",34.0,2.6,7.0,0.3
"Strawberries, frozen, sweetened, whole",78.0,0.52,21.0,0.14
"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",146.0,32.51,0.0,1.8
"Turkey from whole, light meat, raw",114.0,23.66,0.14,1.48
"Winged bean, immature seeds, cooked, boiled, drained, with salt",37.0,5.31,3.21,0.66
"Beef, ground, 97% lean meat / 3% fat, patty, cooked, broiled",146.0,26.36,0.0,4.46
"Chokecherries, raw, pitted (Shoshone Bannock)",156.0,2.89,33.88,0.98
"Mouse nuts, roots (Alaska Native)",81.0,3.9,16.1,0.1
"DIGIORNO Pizza, pepperoni topping, rising crust, frozen, baked",265.0,12.46,31.15,10.11
"SMART SOUP, French Lentil",53.0,2.9,9.5,1.06
"McDONALD'S, Creamy Ranch Sauce",468.0,1.11,3.49,52.03
"Fast foods, sundae, hot fudge",180.0,3.57,30.17,5.46
"Macaroni, vegetable, cooked, enriched",128.0,4.53,26.61,0.11
"Fish, mackerel, spanish, cooked, dry heat",158.0,23.59,0.0,6.32
"Infant formula, ABBOTT NUTRITION, SIMILAC, SENSITIVE, (LACTOSE FREE), powder, with ARA and DHA (formerly ROSS)",520.0,11.13,55.67,28.14
"Mungo beans, mature seeds, cooked, boiled, without salt",105.0,7.54,18.34,0.55
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches",394.0,7.9,81.8,5.1
"Pork, ground, 72% lean / 28% fat, cooked, pan-broiled",377.0,22.59,1.08,31.42
"Cheese, pasteurized process, American, low fat",180.0,24.6,3.5,7.0
"Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, Lite Syrup",43.0,2.87,14.2,2.03
"Soybeans, mature cooked, boiled, without salt",173.0,16.64,9.93,8.97
"Candies, milk chocolate",535.0,7.65,59.4,29.66
"Babyfood, banana juice with low fat yogurt",89.0,2.5,17.54,0.8
"Squash, winter, all varieties, cooked, baked, without salt",37.0,0.89,8.85,0.35
"Beef, New Zealand, imported, flat, separable lean and fat, raw",177.0,20.57,0.0,10.55
"Hearts of palm, canned",28.0,2.52,4.62,0.62
"Coriander (cilantro) leaves, raw",23.0,2.13,3.67,0.52
"Pasta, fresh-refrigerated, spinach, cooked",130.0,5.06,25.04,0.94
"Game meat , bison, ground, raw",223.0,18.67,0.0,15.93
"Candies, MARS SNACKFOOD US, POP'ABLES SNICKERS Brand Bite Size Candies",480.0,7.15,61.07,24.32
"Barley, pearled, cooked",123.0,2.26,28.22,0.44
"Beans, kidney, all types, mature seeds, cooked, boiled, with salt",127.0,8.67,22.8,0.5
"Lima beans, thin seeded (baby), mature seeds, cooked, boiled, with salt",126.0,8.04,23.31,0.38
"Egg, white, dried, powder, stabilized, glucose reduced",376.0,82.4,4.47,0.04
"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean only, trimmed to 1/8"" fat, raw",143.0,20.65,0.0,6.08
"Lamb, Australian, imported, fresh, loin, separable lean only, trimmed to 1/8"" fat, cooked, broiled",192.0,26.53,0.0,8.75
"Chicken, broilers or fryers, skin only, cooked, rotisserie, original seasoning",406.0,17.66,0.11,37.24
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",198.0,30.7,0.0,8.32
"Leavening agents, baking powder, low-sodium",97.0,0.1,46.9,0.4
"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",78.0,2.99,12.13,1.9
"Cheese, fresh, queso fresco",299.0,18.09,2.98,23.82
"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",219.0,29.02,0.0,10.54
"Whipped topping, frozen, low fat",224.0,3.0,23.6,13.1
"Muffins, wheat bran, toaster-type with raisins, toasted",313.0,5.5,55.5,9.4
"KEEBLER, Cheese & Peanut Butter Sandwich Crackers",492.0,10.8,59.0,24.5
"Veal, leg (top round), separable lean only, cooked, pan-fried, breaded",216.0,28.41,9.84,6.27
"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",284.0,27.6,0.0,19.3
"Peppers, hot chili, green, canned, pods, excluding seeds, solids and liquids",21.0,0.9,5.1,0.1
"French toast, frozen, ready-to-heat",213.0,7.4,32.1,6.1
"Pork, ground, 96% lean / 4% fat, raw",121.0,21.1,0.21,4.0
"Cherries, sour, red, canned, light syrup pack, solids and liquids",75.0,0.74,19.3,0.1
"GIRL SCOUTS, Do-si-dos Cookies",478.0,8.1,66.0,21.4
"Fast foods, quesadilla, with chicken",294.0,15.05,24.04,15.25
"Infant formula, ABBOTT NUTRITION, SIMILAC, PM 60/40, powder not reconstituted (formerly ROSS)",524.0,11.4,54.94,28.71
"Stew, pinto bean and hominy, badufsuki (Hopi)",32.0,1.42,5.38,0.54
Tostada with guacamole,138.0,4.78,12.27,8.91
"KEEBLER, TOWN HOUSE, TOPPERS, Original Crackers",483.0,7.6,66.8,20.5
"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, unheated",112.0,19.38,1.02,3.43
"Fast foods, french toast sticks",340.0,6.0,41.21,17.74
"Fast Foods, Fried Chicken, Breast, meat and skin and breading",230.0,23.51,6.03,12.44
"Biscuits, plain or buttermilk, dry mix",428.0,8.0,63.4,15.4
"Cereals ready-to-eat, KASHI Berry Blossom",322.0,7.5,83.09,3.0
"Turkey, enhanced, skin from whole, (light and dark), roasted",451.0,22.15,0.0,40.31
"Chili with beans, microwavable bowls",100.0,5.85,10.88,3.68
"Beef, rib, eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, raw",274.0,17.51,0.0,22.07
"Soup, chicken gumbo, canned, condensed",45.0,2.1,6.67,1.14
"Purslane, cooked, boiled, drained, without salt",18.0,1.49,3.55,0.19
"Beef, shoulder pot roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",200.0,31.32,0.0,8.3
"Peaches, canned, extra heavy syrup pack, solids and liquids",96.0,0.47,26.06,0.03
"Cauliflower, green, raw",31.0,2.95,6.09,0.3
"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, braised",171.0,28.41,0.0,5.47
"Alcoholic beverage, wine, dessert, dry",152.0,0.2,11.67,0.0
"Collards, frozen, chopped, cooked, boiled, drained, without salt",36.0,2.97,7.1,0.41
"Frozen novelties, juice type, orange",95.0,0.5,23.17,0.0
"USDA Commodity, spaghetti sauce, meatless, canned",48.0,1.2,8.7,0.9
"Pork, cured, ham, center slice, country-style, separable lean only, raw",195.0,27.8,0.3,8.32
"Fish, trout, rainbow, wild, raw",119.0,20.48,0.0,3.46
"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, raw",199.0,20.8,0.6,12.6
"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",331.0,23.9,0.0,25.39
"KEEBLER, Cheese on Wheat Sandwich Crackers",499.0,8.4,59.8,25.4
"Margarine-like spread, SMART BEAT Smart Squeeze",47.0,0.0,7.1,2.1
"CAMPBELL'S, Organic Tomato juice",21.0,0.82,4.12,0.0
"Veal, foreshank, osso buco, separable lean and fat, cooked, braised",182.0,27.94,0.11,7.77
"Babyfood, dessert, banana yogurt, strained",78.0,1.1,17.35,0.52
"Asparagus, raw",20.0,2.2,3.88,0.12
"Soup, chicken broth, canned, less/reduced sodium",7.0,1.36,0.38,0.0
"Tree fern, cooked, with salt",40.0,0.29,10.78,0.07
"KEEBLER, Sweet Cremes Cookies",469.0,4.5,71.0,19.3
"Spaghetti, cooked, unenriched, with added salt",157.0,5.8,30.59,0.93
"CAMPBELL'S Red and White, Cream of Shrimp Soup, condensed",81.0,2.42,6.45,4.84
"Cookies, chocolate sandwich, with extra creme filling",497.0,4.33,68.2,24.52
"Pate, truffle flavor",327.0,11.2,6.3,28.5
"GARDENBURGER Black Bean Chipotle Burger, frozen, unprepared",149.0,6.5,22.0,3.9
"Beef, New Zealand, imported, flank, separable lean only, raw",142.0,20.53,0.0,6.67
"Chicken, broilers or fryers, meat only, roasted",190.0,28.93,0.0,7.41
"Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw",155.0,22.78,0.0,6.43
"OSCAR MAYER, Smokies (cheese)",303.0,12.9,1.8,27.1
"Beet greens, cooked, boiled, drained, without salt",27.0,2.57,5.46,0.2
"Pork, ground, 84% lean / 16% fat, raw",218.0,17.99,0.44,16.0
"Tea, instant, sweetened with non-nutritive sweetener, lemon-flavored, powder, decaffeinated",338.0,3.3,85.4,0.6
"Tea, instant, sweetened with sweetened with non-nutritive sweetener, lemon-flavored, prepared",2.0,0.02,0.44,0.0
"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",157.0,30.97,0.0,3.72
"LOMA LINDA Swiss Stake with Gravy, canned, unprepared",138.0,10.2,10.4,6.2
"Elk, free range, ground, raw (Shoshone Bannock)",97.0,20.14,0.0,1.8
"Turkey from whole, neck, meat only, raw",125.0,16.51,0.0,6.04
"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean and fat, raw",186.0,20.28,0.0,11.04
"Beans, adzuki, mature seeds, cooked, boiled, without salt",128.0,7.52,24.77,0.1
"Soup, shark fin, restaurant-prepared",46.0,3.2,3.8,2.0
"Bread, pita, white, enriched",275.0,9.1,55.7,1.2
"Soup, chicken broth or bouillon, dry",267.0,16.66,18.01,13.88
"Persimmons, japanese, raw",70.0,0.58,18.59,0.19
Soy protein isolate,338.0,80.69,7.36,3.39
"Cheese, pasteurized process, cheddar or American, low sodium",376.0,22.2,1.6,31.19
"Oranges, raw, all commercial varieties",47.0,0.94,11.75,0.12
"Dates, medjool",277.0,1.81,74.97,0.15
"Vegetable and fruit juice drink, reduced calorie, with low-calorie sweetener, added vitamin C",4.0,0.0,1.1,0.0
"Spices, cloves, ground",274.0,5.97,65.53,13.0
"KELLOGG'S, EGGO, Biscuit Scramblers, Egg & Cheese",254.0,8.8,38.3,7.6
"Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, heated, roasted",177.0,22.47,0.6,9.39
"Beans, black, mature seeds, cooked, boiled, with salt",132.0,8.86,23.71,0.54
"Pear nectar, canned, without added ascorbic acid",60.0,0.11,15.76,0.01
"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, raw",166.0,21.34,0.0,8.33
"Veal, cubed for stew (leg and shoulder), separable lean only, raw",109.0,20.27,0.0,2.5
"Chicken, feet, boiled",215.0,19.4,0.2,14.6
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",255.0,26.54,0.0,15.71
"SUPPER BAKES MEAL KITS, Lemon Chicken with herb rice (chicken not included)",210.0,4.26,45.74,1.06
"Beverages, Energy Drink, sugar free",4.0,0.42,0.42,0.0
"Bear, polar, meat, raw (Alaska Native)",130.0,25.6,0.0,3.1
"Baking chocolate, unsweetened, squares",642.0,14.32,28.42,52.31
"Coffeecake, cinnamon with crumb topping, commercially prepared, unenriched",418.0,6.8,46.7,23.3
"Sauce, barbecue, SWEET BABY RAY'S, original",192.0,0.95,46.08,0.43
"Mung beans, mature seeds, sprouted, cooked, boiled, drained, with salt",19.0,2.03,3.6,0.09
"Babyfood, vegetables, spinach, creamed, strained",37.0,2.5,5.7,1.3
"DIGIORNO Pizza, supreme topping, thin crispy crust, frozen, baked",255.0,11.41,28.05,10.8
"Pork, cured, ham -- water added, slice, bone-in, separable lean only, heated, pan-broil",131.0,22.04,1.48,4.3
"Puff pastry, frozen, ready-to-bake, baked",558.0,7.4,45.7,38.5
"Peppers, sweet, green, frozen, chopped, boiled, drained, without salt",18.0,0.95,3.9,0.18
"Peas and onions, canned, solids and liquids",51.0,3.28,8.57,0.38
"Barbecue loaf, pork, beef",173.0,15.84,6.4,8.9
"Pork, cured, ham, slice, bone-in, separable lean only, unheated",130.0,24.36,0.0,3.59
"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, roasted",359.0,21.75,0.0,29.46
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",150.0,29.81,0.0,3.37
"Waterchestnuts, chinese, canned, solids and liquids",50.0,0.88,12.3,0.06
"Moose, liver, braised (Alaska Native)",155.0,24.38,3.43,4.89
"KELLOGG'S, EGGO, Waffles, French Toast",305.0,5.8,43.4,12.2
"CAMPBELL'S Soup on the Go, Cheesy Potato with Bacon Flavor Soup",43.0,0.66,5.25,1.97
"Shortening, industrial, soy (partially hydrogenated), pourable liquid fry shortening",884.0,0.0,0.0,100.0
"Bread, cornbread, prepared from recipe, made with low fat (2%) milk",266.0,6.7,43.5,7.1
"Candies, truffles, prepared-from-recipe",510.0,6.21,44.88,33.76
"Cereals ready-to-eat, WEETABIX whole grain cereal",371.0,11.43,81.5,2.86
"Nance, frozen, unsweetened",73.0,0.66,16.97,1.16
"Game meat, rabbit, domesticated, composite of cuts, cooked, stewed",206.0,30.38,0.0,8.41
"Spinach, canned, no salt added, solids and liquids",19.0,2.11,2.92,0.37
"Fennel, bulb, raw",31.0,1.24,7.3,0.2
"Veal, sirloin, separable lean and fat, raw",152.0,19.07,0.0,7.81
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, regular crust",282.0,11.74,31.98,11.91
"Toddler formula, MEAD JOHNSON, ENFAGROW PREMIUM (formerly ENFAMIL, LIPIL, NEXT STEP), ready-to-feed",64.0,1.78,7.18,3.63
"McDONALD'S, McCHICKEN Sandwich (without mayonnaise)",240.0,11.08,30.95,8.46
"Infant formula, MEAD JOHNSON, PROSOBEE LIPIL, with iron, ready to feed, with ARA and DHA",64.0,1.64,6.11,3.5
"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised",216.0,30.68,0.0,9.44
"Candies, NESTLE, CHUNKY Bar",475.0,7.5,60.0,27.5
"DIGIORNO Pizza, pepperoni topping, cheese stuffed crust, frozen, baked",279.0,13.92,29.46,11.71
"Game meat, deer, raw",120.0,22.96,0.0,2.42
"Beet greens, raw",22.0,2.2,4.33,0.13
"Frankfurter, meatless",233.0,19.61,7.7,13.73
"Babyfood, juice, apple and prune",72.0,0.2,18.1,0.1
"Cereals ready-to-eat, GENERAL MILLS Cinnamon CHEX",403.0,5.0,82.4,6.59
"Nuts, almond paste",458.0,9.0,47.81,27.74
"Turkey, heart, all classes, cooked, simmered",174.0,24.88,0.0,7.52
"CAMPBELL'S CHUNKY Soups, Chicken Corn Chowder",82.0,2.86,8.16,4.08
"Cookies, shortbread, commercially prepared, plain",514.0,5.37,63.78,26.22
"Beverages, Green tea, SALADA brewed from bags",1.0,0.19,0.0,0.0
"Turkey, enhanced, dark meat from whole, meat and skin, raw",169.0,17.84,0.15,10.83
"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",215.0,25.54,0.0,11.78
"Cauliflower, cooked, boiled, drained, with salt",23.0,1.84,4.11,0.45
"Babyfood, dinner, vegetables, noodles and chicken, strained",63.0,2.0,7.9,2.5
"Crustaceans, crayfish, mixed species, farmed, raw",72.0,14.85,0.0,0.97
"Duck, domesticated, meat and skin, raw",404.0,11.49,0.0,39.34
"Soup, cream of mushroom, canned, condensed",79.0,1.35,6.8,5.3
"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, pan-fried",222.0,26.38,0.0,12.14
"Apricots, canned, heavy syrup, drained",83.0,0.64,21.31,0.11
"Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",208.0,28.35,0.51,10.26
"Pork, fresh, enhanced, shoulder, (Boston butt), blade (steaks), separable lean only, raw",122.0,18.29,0.18,5.36
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",71.0,0.1,19.7,0.0
"Snacks, oriental mix, rice-based",506.0,17.31,51.62,25.58
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled",196.0,26.62,0.0,9.14
"KEEBLER, FUDGE SHOPPE, Cheesecake Middles, Original Graham Cookies",507.0,4.2,65.5,26.2
"Salad dressing, buttermilk, lite",202.0,1.25,21.33,12.42
"Beverages, ABBOTT, ENSURE, Nutritional Shake, Ready-to-Drink",105.0,3.8,16.88,2.53
"Dandelion greens, cooked, boiled, drained, with salt",33.0,2.0,6.4,0.6
"Onions, frozen, whole, unprepared",35.0,0.89,8.45,0.06
"Fish, mackerel, Atlantic, cooked, dry heat",262.0,23.85,0.0,17.81
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",164.0,0.1,15.85,0.02
"Pork, fresh, variety meats and by-products, liver, cooked, braised",165.0,26.02,3.76,4.4
"Lamb, variety meats and by-products, brain, cooked, pan-fried",273.0,16.97,0.0,22.19
"Cereals ready-to-eat, GENERAL MILLS, 25% Less Sugar TRIX",383.0,5.4,85.5,4.0
"Lamb, domestic, cubed for stew or kabob (leg and shoulder), separable lean only, trimmed to 1/4"" fat, cooked, braised",223.0,33.69,0.0,8.8
"Sausage, chicken, beef, pork, skinless, smoked",216.0,13.6,8.1,14.3
"OSCAR MAYER, Wieners (pork, turkey)",327.0,10.95,2.7,29.9
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted chocolate fudge",384.0,4.9,70.4,9.3
"Sauce, teriyaki, ready-to-serve",89.0,5.93,15.56,0.02
"Frankfurter, pork",269.0,12.81,0.28,23.68
"Oil, industrial, soy ( partially hydrogenated), all purpose",884.0,0.0,0.0,100.0
"Peaches, dried, sulfured, stewed, with added sugar",103.0,1.06,26.6,0.22
"Pancakes, whole-wheat, dry mix, incomplete",344.0,12.8,71.0,1.5
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, all grades, raw",170.0,19.42,0.49,9.99
"McDONALD'S, McFLURRY with M&M'S CANDIES",177.0,4.02,26.82,6.46
"Nuts, ginkgo nuts, canned",111.0,2.29,22.1,1.62
"Gravy, instant beef, dry",369.0,9.8,61.1,9.48
"Walrus, meat, raw (Alaska Native)",199.0,19.2,0.0,13.6
"Beef, rib, eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, choice, raw",161.0,20.13,0.0,8.3
"Cowpeas, leafy tips, cooked, boiled, drained, without salt",22.0,4.67,2.8,0.1
"Crustaceans, crab, alaska king, raw",84.0,18.29,0.0,0.6
"Puff pastry, frozen, ready-to-bake",551.0,7.3,45.1,38.1
"Nuts, walnuts, glazed",500.0,8.28,47.59,35.71
"Cake, carrot, dry mix, pudding-type",415.0,5.1,79.2,9.8
"Soup, vegetarian vegetable, canned, prepared with equal volume water",28.0,0.86,4.89,0.79
"Limes, raw",30.0,0.7,10.54,0.2
"PREGO Pasta, Roasted Garlic Parmesan Italian Sauce, ready-to-serve",77.0,2.31,10.0,0.77
"Hyacinth-beans, immature seeds, cooked, boiled, drained, without salt",50.0,2.95,9.2,0.27
"Broccoli, raw",34.0,2.82,6.64,0.37
"SUNSHINE, CHEEZ-IT, Italian Four Cheese Crackers",500.0,8.4,62.4,24.6
"Beef, chuck eye Country-Style ribs, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",205.0,18.97,0.0,14.32
"Chicken, broilers or fryers, giblets, cooked, simmered",157.0,27.15,0.0,4.5
"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",218.0,26.41,0.0,11.64
"PIZZA HUT 14"" Super Supreme Pizza, Hand-Tossed Crust",248.0,11.34,26.01,10.95
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked",211.0,29.88,0.0,9.28
"OSCAR MAYER, Braunschweiger Liver Sausage (saren tube)",341.0,14.2,2.3,30.6
"CAMPBELL'S CHUNKY Soups, Savory Vegetable Soup",44.0,1.22,8.98,0.41
"Soup, chicken gumbo, canned, prepared with equal volume water",23.0,1.08,3.43,0.59
"CAMPBELL'S Red and White, PHINEAS and FERB Soup, condensed",56.0,2.38,8.73,1.59
"BUTCHER BOY MEATS, INC., Turkey Franks",239.0,13.45,4.66,18.17
"Restaurant, family style, chicken fingers, from kid's menu",307.0,18.68,18.77,17.45
"Salami, cooked, beef and pork",336.0,21.85,2.4,25.9
"Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES",568.0,9.76,51.72,35.73
"Beef, New Zealand, imported, hind shin, separable lean only, raw",114.0,21.46,0.0,3.12
"Cereals ready-to-eat, MALT-O-MEAL, Blueberry MUFFIN TOPS Cereal",443.0,4.9,79.91,11.48
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",247.0,26.92,0.0,15.44
"Leavening agents, baking powder, double-acting, straight phosphate",51.0,0.1,24.1,0.0
"Chicken, stewing, giblets, cooked, simmered",194.0,25.73,0.11,9.3
"Crackers, melba toast, wheat",374.0,12.9,76.4,2.3
"Restaurant, family style, chili with meat and beans",157.0,12.56,4.57,9.79
"Corn, dried (Navajo)",386.0,9.88,74.93,5.22
"Tea, instant, unsweetened, lemon-flavored, powder",345.0,7.4,78.52,0.18
"Seeds, sunflower seed kernels, oil roasted, with salt added",592.0,20.06,22.89,51.3
"Soup, clam chowder, new england, canned, ready-to-serve",79.0,2.61,8.28,3.94
"Cauliflower, frozen, cooked, boiled, drained, without salt",19.0,1.61,3.75,0.22
"ARCHWAY Home Style Cookies, Oatmeal",421.0,5.48,68.17,14.08
"Vitasoy USA Azumaya, Firm Tofu",80.0,8.3,2.3,4.2
"USDA Commodity, beef, canned",246.0,20.52,0.0,17.57
"Candies, sweet chocolate",507.0,3.9,60.4,34.2
"Figs, raw",74.0,0.75,19.18,0.3
"Sausage, Polish, pork and beef, smoked",301.0,12.07,1.98,26.56
"Sauce, cocktail, ready-to-serve",124.0,1.36,28.22,1.05
"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",276.0,25.4,0.0,18.57
"Pumpkin pie mix, canned",104.0,1.09,26.39,0.13
"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",216.0,30.54,0.0,10.46
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH",417.0,7.1,78.65,9.23
"Snacks, corn-based, extruded, cones, plain",510.0,5.8,62.9,26.9
"Kale, cooked, boiled, drained, without salt",28.0,1.9,5.63,0.4
"Spices, bay leaf",313.0,7.61,74.97,8.36
"CAMPBELL'S Red and White, Beef Broth, condensed",12.0,2.42,0.81,0.0
"Soy flour, full-fat, roasted, crude protein basis (N x 6.25)",439.0,38.09,30.38,21.86
